,_id,_source.covered_area,_source.floor,_source.lease_duration_expected,_source.location.lat,_source.location.lon,_source.lock_in_period,_source.maintenance_charges,_source.no_of_balconies,_source.no_of_bathrooms,_source.plot_area,_source.rent_expected,_source.security_deposit,_source.total_floors,_source.type_of_accomodation
47,dd59313c-de4d-5613-b470-56711ea5636f,2800.0,1,24.0,28.56235,77.20437199999999,12.0,0.0,3.0,4.0,3600.0,80000.0,240000.0,2.0,4
48,de5309e2-434b-b8cb-2a8e-566d50da41c4,1300.0,0,11.0,28.55777,77.25330100000001,6.0,0.0,0.0,2.0,1800.0,40000.0,80000.0,2.0,3
49,df9b8874-4f83-18ec-0bba-567d0562caca,1500.0,2,24.0,28.572792,77.262188,12.0,0.0,3.0,2.0,7200.0,100000.0,200000.0,2.0,2
50,e17a21c9-f232-9441-af3c-567cc40ef2dc,1000.0,0,24.0,28.560625,77.254735,12.0,0.0,0.0,3.0,1125.0,32000.0,64000.0,1.0,2
51,e5972ae7-04de-e9fb-b1df-567181bc2d0e,1200.0,3,24.0,28.549746999999996,77.201582,12.0,0.0,1.0,2.0,3150.0,30000.0,90000.0,3.0,2
52,c68481bd-8d25-ce94-ac3d-567811d7db7b,4800.0,0,24.0,28.564988,77.249238,12.0,0.0,0.0,5.0,2250.0,175000.0,350000.0,2.0,5
53,c99a34bf-d69a-fb51-4719-567a8c4f20ab,900.0,3,12.0,28.564418,77.248992,12.0,0.0,1.0,1.0,1125.0,12000.0,24000.0,3.0,2
54,cbf0050c-e8c0-c6d2-3d46-56825b3fc583,1200.0,1,24.0,28.548183,77.232821,12.0,0.0,2.0,3.0,1872.0,70000.0,140000.0,2.0,3
55,cf095707-883b-5b1a-1f1e-56741c883ce6,1600.0,1,35.0,28.584643,77.24149399999999,11.0,5200.0,2.0,3.0,1800.0,100000.0,200000.0,3.0,3
56,cfcff650-d5cc-9cc7-dccb-5699ef7ea98d,2250.0,3,36.0,28.530487,77.246356,12.0,10000.0,1.0,4.0,2700.0,150000.0,300000.0,3.0,4
57,d005c702-0d07-18e7-3ce3-56850614b759,2000.0,1,36.0,28.547508,77.232196,24.0,0.0,1.0,3.0,4500.0,70000.0,140000.0,2.0,4
58,e5ea0a12-9455-2364-46ac-569a0237a8e1,1600.0,1,36.0,28.532658,77.246378,12.0,0.0,1.0,3.0,1872.0,55000.0,110000.0,2.0,3
59,d896d7d8-e70f-7aff-7fb7-5662f6e18da7,800.0,1,24.0,28.553897999999997,77.240822,12.0,0.0,0.0,2.0,2250.0,35000.0,70000.0,3.0,2
60,d9c1781a-f7cb-bad4-f919-565d699cd472,1700.0,1,24.0,28.544715000000004,77.228448,12.0,0.0,2.0,3.0,2385.0,80000.0,240000.0,2.0,3
61,31c8d0a3-71fe-2216-91eb-56740c18021b,575.0,2,12.0,28.563763,77.23695,12.0,0.0,2.0,1.0,1125.0,17000.0,17000.0,2.0,1
62,345dd4f1-a73c-2bed-62b4-56a2207697af,2000.0,2,36.0,28.556715999999998,77.23383199999999,12.0,10000.0,2.0,4.0,2700.0,85000.0,170000.0,3.0,4
63,1e59e1b8-3bc2-a0aa-50d4-569caf18cb13,2200.0,1,36.0,28.574915,77.233541,12.0,0.0,1.0,3.0,2925.0,120000.0,240000.0,2.0,3
64,46c880ef-b4f4-58d0-80f4-569df6a47535,4000.0,0,36.0,28.578234000000002,77.171213,12.0,0.0,4.0,4.0,3600.0,400000.0,800000.0,2.0,3
65,19db1a6e-9fb7-0292-625a-5698d709ada1,2000.0,3,24.0,28.568140999999997,77.229347,12.0,20000.0,1.0,3.0,2925.0,200000.0,400000.0,3.0,3
66,2d57c24a-d2ec-6cb0-d006-56938ced8af0,1500.0,1,36.0,28.580784,77.165062,12.0,0.0,1.0,3.0,1800.0,70000.0,140000.0,2.0,3
67,44f4695f-5854-4fc1-b3c8-56925106a3b4,1400.0,1,24.0,28.581412,77.164447,12.0,0.0,2.0,3.0,2250.0,90000.0,180000.0,2.0,2
68,2fd8aa14-3602-9e9f-4067-569cec80b49b,1500.0,2,36.0,28.550371999999996,77.242024,12.0,0.0,2.0,3.0,1872.0,60000.0,120000.0,3.0,3
69,4c07cde8-9847-cf11-19e9-567fa958638b,1800.0,3,24.0,28.56702,77.231246,12.0,0.0,3.0,4.0,2925.0,230000.0,460000.0,3.0,3
70,201800ed-87e2-9ac5-5c5f-56961ee30a90,1500.0,1,24.0,28.577378999999997,77.232228,12.0,1000.0,2.0,3.0,1953.0,110000.0,220000.0,3.0,3
71,9db38bd4-7b29-27c4-f156-569cc5dae5a2,1500.0,0,24.0,28.549052000000003,77.240673,12.0,0.0,2.0,3.0,1872.0,70000.0,140000.0,3.0,3
72,a611067d-d695-e3e5-c0f7-568cdfaa559e,2800.0,1,24.0,28.574402000000003,77.163332,12.0,15000.0,4.0,6.0,9000.0,365000.0,950000.0,3.0,4
73,b8799613-a6b9-2c2d-36ea-568f7a5017a8,2200.0,2,24.0,28.578277000000003,77.16379,12.0,15000.0,1.0,4.0,3420.0,250000.0,500000.0,2.0,3
74,e03481d5-cb76-55a3-9767-568b779c273f,1600.0,1,36.0,28.551203000000005,77.204838,24.0,0.0,2.0,3.0,2000.0,65000.0,130000.0,2.0,3
75,ce5e5103-4441-8165-0941-56ab07e7dabf,1500.0,3,24.0,28.536446,77.23983100000001,12.0,15000.0,2.0,3.0,2250.0,90000.0,270000.0,3.0,3
76,5a3e41ea-aef7-8a29-d1bb-56a3635fd03a,1500.0,3,24.0,28.549052000000003,77.240673,12.0,0.0,2.0,3.0,1872.0,70000.0,140000.0,3.0,3
77,5688ff0c-9597-be54-7176-56910d42d82c,2000.0,1,24.0,28.574240000000003,77.16281500000001,12.0,2000.0,3.0,4.0,3600.0,150000.0,300000.0,2.0,4
78,a086f58b-e5b5-5702-47c1-56765ac54594,1400.0,2,12.0,28.571814,77.21883299999999,12.0,0.0,2.0,2.0,1800.0,40000.0,80000.0,2.0,2
79,96fe687d-6af0-1bf6-ec05-5694fad61319,700.0,2,24.0,28.593188,77.33489,12.0,0.0,2.0,2.0,1008.0,10500.0,10500.0,2.0,2
80,7fa5a044-71eb-f2e2-02ad-569b3d153181,1600.0,1,36.0,28.551664000000002,77.357765,12.0,0.0,3.0,3.0,2675.0,24000.0,48000.0,2.0,3
81,50fb23e3-1f35-b69e-5e7a-56b3347c7fb5,1400.0,1,36.0,28.574944,77.166129,12.0,0.0,3.0,3.0,4500.0,150000.0,300000.0,2.0,3
82,a2688a48-0596-834b-121f-56bed8fdfcdf,2100.0,1,24.0,28.595653000000002,77.230176,12.0,7000.0,1.0,2.0,3375.0,200000.0,400000.0,2.0,3
83,54b5376e-a0c6-7209-1979-56bc91c4a7d9,2100.0,1,24.0,28.586105,77.214863,12.0,0.0,1.0,2.0,3375.0,100000.0,200000.0,2.0,3
84,5cc5ef89-e94a-255f-ae64-56d43bde993c,1200.0,2,24.0,28.56822,77.228111,12.0,0.0,1.0,2.0,2925.0,125000.0,250000.0,2.0,2
85,324acfa7-6aed-dfbb-5186-56c2f2f8d0b0,800.0,0,24.0,28.56822,77.228111,12.0,0.0,0.0,1.0,2925.0,100000.0,100000.0,2.0,1
86,12153f6b-d033-b592-ad3d-56c1d5ed5403,400.0,3,24.0,28.551109000000004,77.205771,12.0,0.0,2.0,1.0,900.0,25000.0,50000.0,3.0,1
