,_id,_source.covered_area,_source.floor,_source.lease_duration_expected,_source.location.lat,_source.location.lon,_source.lock_in_period,_source.maintenance_charges,_source.no_of_balconies,_source.no_of_bathrooms,_source.plot_area,_source.rent_expected,_source.security_deposit,_source.servant_room,_source.servant_room_with_toilet,_source.total_floors,_source.type_of_accomodation
185,7dabc71a-fcd5-4a98-efa0-567bb1a4a0df,1400,2,24,28.522019,77.205188,12,0,2,3,1800,35000,105000.0,1,1,3.0,3
186,7f0bf1ff-9e5d-50d5-5049-56828679ff60,1100,3,12,28.562288,77.248702,12,0,0,2,1200,32000,32000.0,0,0,3.0,2
187,84039d42-42e2-f042-b8bc-5652c51a84d2,200,0,24,28.547819,77.240175,12,0,2,4,2700,85000,170000.0,1,1,2.0,4
188,86f8401d-a422-9f5c-2523-566eb106423e,875,1,24,28.558334,77.253601,12,0,2,2,1125,35000,70000.0,0,0,3.0,3
189,c5c90114-6d0d-af6c-7de4-567fa8a9868f,1600,3,24,28.549214,77.239359,12,0,2,3,2700,120000,240000.0,1,1,3.0,3
190,c7c72bfc-085f-9ff0-bde4-56765f7828b2,1600,0,12,28.572781,77.219054,12,0,0,2,1800,35000,70000.0,1,1,2.0,2
191,c8683a72-bef9-0843-1d12-5660121cc89f,2300,1,24,28.571759,77.231139,12,0,3,3,3375,150000,450000.0,1,1,2.0,3
192,c91cd53c-e39c-e359-43cc-5672b8008892,1400,2,24,28.581247,77.244423,12,0,2,2,1800,55000,110000.0,0,0,2.0,3
193,c93c0b49-d950-321f-6cb4-5691f50adfb6,2200,1,24,28.556464,77.220147,12,0,3,4,3600,160000,320000.0,1,1,2.0,4
194,c9df55ad-4215-bc2a-0fb8-567182f4ddb8,2900,1,36,28.549619,77.205863,12,1000,1,3,4680,100000,200000.0,1,1,1.0,3
195,c9f75ac8-05f2-8852-4ef8-567a823bae43,1600,2,24,28.521276,77.207816,12,0,2,2,1800,55000,110000.0,0,0,2.0,3
196,b46d71b0-2868-5956-549c-5685031225a7,1500,2,24,28.538555,77.242254,12,0,4,3,2250,55000,110000.0,1,1,3.0,3
197,b5280a8c-3241-b475-4ab4-5672ba946580,500,2,24,28.542709,77.251314,12,0,1,1,900,20000,40000.0,0,0,3.0,1
198,9b2339d5-718b-5bb6-86fb-5682848d654a,1400,2,36,28.544822,77.259317,12,5000,2,3,1800,75000,225000.0,1,1,3.0,3
199,a2114f8f-2198-6e12-2222-564ebcc87dec,2800,2,24,28.547254,77.197463,12,6000,4,4,4500,200000,1000000.0,1,1,2.0,4
200,d2983089-2b0a-d77e-7b77-567697d0e06c,1400,3,24,28.564714,77.219023,12,0,3,3,1917,70000,140000.0,1,1,3.0,3
201,d2a3b430-d631-778c-0a13-567a837f6c36,700,2,12,28.561289,77.241024,12,0,1,2,900,30000,60000.0,0,0,2.0,2
202,d37096ca-df59-6d95-2295-56584df396fa,2400,0,36,28.574499,77.229754,30,15000,4,5,4950,175000,525000.0,1,1,3.0,4
203,d3f703e8-96ed-1a56-5889-567ba2c549fa,2100,2,12,28.57056,77.270961,12,10000,2,4,2700,100000,200000.0,1,1,3.0,4
204,d5a8906f-4f69-a035-fab3-56a35cd8bdf5,850,0,24,28.534288,77.218425,12,0,1,2,918,50000,100000.0,1,1,3.0,2
205,8e55fb3c-fd68-3b80-cd3c-568baa3fba7c,4000,0,24,28.533406,77.238971,12,0,5,3,4500,80000,160000.0,1,1,3.0,3
206,9040647b-eded-177f-9eb0-56850362aa1c,1500,2,36,28.546918,77.23635,24,5000,2,3,1872,100000,200000.0,1,1,3.0,3
207,904ecbd1-c77b-0f02-8575-5672c606122b,2500,3,24,28.561434,77.267102,12,15000,3,4,4500,125000,250000.0,1,1,3.0,4
208,92208169-1858-f840-ffc3-567a839969c5,450,3,12,28.570143,77.242021,12,0,1,1,900,14000,28000.0,0,0,3.0,1
209,e9b96c3b-3f35-5e8a-7395-56740b9ca3e9,1500,3,24,28.557716,77.253003,12,6000,2,1,2700,50000,100000.0,1,1,3.0,2
210,ea349a1f-d6aa-7136-921e-567ce5b80e32,2000,1,36,28.520872,77.214881,11,2000,1,4,2700,100000,300000.0,1,1,3.0,3
211,f18b1176-9135-a00c-5473-5677e5b344f7,2100,3,12,28.570488,77.273564,12,5000,1,3,2700,50000,100000.0,1,1,3.0,3
212,db15d05c-f2d0-34ee-d9aa-569b7369381e,1400,1,24,28.5156,77.230423,12,0,1,3,1600,70000,140000.0,0,0,2.0,3
213,dfa0d122-b5f1-cdd8-4dd0-56643e57223b,1500,1,24,28.577828,77.231378,12,0,2,2,2538,100000,300000.0,0,0,2.0,2
214,e2004743-dba2-64a2-7468-5658125c0567,3000,2,24,28.553517,77.208248,12,7000,3,5,4770,140000,420000.0,1,1,2.0,5
215,e514613e-1970-16c0-c185-567bb0db5f8e,1000,2,24,28.533263,77.209122,12,0,1,2,1125,25000,50000.0,0,0,3.0,2
216,b65d0546-8a45-1334-06d8-56a35cf6352f,850,1,24,28.534288,77.218425,12,0,1,2,918,50000,100000.0,1,1,3.0,2
217,ff300751-2f01-f7c6-a767-566a762f3bd5,1600,2,24,28.538537,77.251015,12,0,2,3,2100,50000,100000.0,0,0,2.0,3
218,b53c2327-fad9-ee7e-ef4b-5666e07eaba7,1800,2,24,28.544175,77.244003,12,0,2,3,2445,75000,225000.0,1,1,2.0,3
219,80744ec4-079c-5855-b043-5639ef972233,5000,2,24,28.501527,77.099594,12,35000,3,5,6750,250000,500000.0,1,1,11.0,4
220,25b65400-0514-fcb9-cc29-5698f17e8770,1500,2,24,28.578522,77.163983,12,10000,5,4,3375,125000,250000.0,1,1,3.0,3
